,"            Автомагнитола ""961701r170gu"", стереофоническая, с cd 961701R170GU SOLARIS Портер",,00000006354,961701R170GU,69,1,,"45 339,00"
,"            Автомагнитола ""961704L0004X"", стереофоническая, с cd 961704L0004X SOLARIS Портер",,00000006355,961704L0004X,69,,,"44 152,00"
,"            Автомагнитола ""961704L000GU""стереофоническая, с cd 961704L000GU SOLARIS Портер",,00000006356,961704L000GU,69,,,"44 152,00"
,"            Автомагнитола""961704L100GU"", стереофоническая, с cd 961704L100GU SOLARIS Портер",,00000006357,961704L100GU,69,,,"57 743,00"
,            Аккумулятор 552400047 BOSCH BLUE SOLARIS Портер,,00000006074,552400047,,,,"7 179,00"
,            Аккумулятор 60 а/ч 371102E000 SOLARIS Портер,,00000003657,371102E000,59,5,,"9 518,00"
,            АКПП 4500023160 SOLARIS Портер,,00000004872,4500023160,46,,,"264 000,00"
,            АКПП 4500023161 SOLARIS Портер,,00000004873,4500023161,46,1,,"350 000,00"
,            Амортизатор багажника 817700U200 SOLARIS Портер,,00000003251,817700U200,12,3,,"840,00"
,            Амортизатор двери зад. прав. 817800U200 SOLARIS Портер,,00000003658,817800U200,12,3,,"1 080,00"
,            Амортизатор задний 553004L000 SOLARIS Портер,,00000003660,553004L000,12,4,,"2 780,00"
,            Амортизатор задний 553004L001 SOLARIS Портер,,00000003659,553004L001,12,4,"Задний амортизатор на Портер, играет важную роль в выполнении основных задач подвески автомобиля, таких как  гашение колебаний от прохождения неровностей дороги. Так же, его задачей является максимально обеспечить постоянное сцепление с дорогой, для улучшения качества управляемости автомобилем. Здесь представлены газомасляные задние амортизаторы.Такие амортизаторы очень надежные и высокоэффективные, так как от длительной и быстрой езды по неровностям они не перегреваются, и масло не вспенивается из за наличия в цилиндре амортизатора, вместо воды, газа под давлением.Оригинальный номер детали  553004L001","2 590,00"
,            Амортизатор задний 553004L002 SOLARIS Портер,,00000003661,553004L002,12,5,"Задний амортизатор на Портер, играет важную роль в выполнении основных задач подвески автомобиля, таких как  гашение колебаний от прохождения неровностей дороги. Так же, его задачей является максимально обеспечить постоянное сцепление с дорогой, для улучшения качества управляемости автомобилем. Здесь представлены газомасляные задние амортизаторы.Такие амортизаторы очень надежные и высокоэффективные, так как от длительной и быстрой езды по неровностям они не перегреваются, и масло не вспенивается из за наличия в цилиндре амортизатора, вместо воды, газа под давлением.Оригинальный номер детали  553004L002","2 590,00"
,            Амортизатор передний левый 546504L000 SOLARIS Портер,,00000003662,546504L000,12,5,"Передний амортизатор на Портер, играет важную роль в выполнении основных задач подвески автомобиля, таких как  гашение колебаний от прохождения неровностей дороги. Так же, его задачей является максимально обеспечить постоянное сцепление с дорогой, для улучшения качества управляемости автомобилем. Здесь представлены газомасляные передние амортизаторы.Такие амортизаторы очень надежные и высокоэффективные, так как от длительной и быстрой езды по неровностям они не перегреваются, и масло не вспенивается из за наличия в цилиндре амортизатора, вместо воды, газа под давлением.Оригинальный номер детали  546504L000.","3 390,00"
,            Амортизатор передний левый 546504L100 SOLARIS Портер,,00000003663,546504L100,12,5,"Передний амортизатор на Портер, играет важную роль в выполнении основных задач подвески автомобиля, таких как  гашение колебаний от прохождения неровностей дороги. Так же, его задачей является максимально обеспечить постоянное сцепление с дорогой, для улучшения качества управляемости автомобилем. Здесь представлены газомасляные передние амортизаторы.Такие амортизаторы очень надежные и высокоэффективные, так как от длительной и быстрой езды по неровностям они не перегреваются, и масло не вспенивается из за наличия в цилиндре амортизатора, вместо воды, газа под давлением.Оригинальный номер детали  546504L100","3 990,00"
,            Амортизатор передний правый 546604L000 SOLARIS Портер,,00000003665,546604L000,12,5,"Передний амортизатор на Портер, играет важную роль в выполнении основных задач подвески автомобиля, таких как  гашение колебаний от прохождения неровностей дороги. Так же, его задачей является максимально обеспечить постоянное сцепление с дорогой, для улучшения качества управляемости автомобилем. Здесь представлены газомасляные передние амортизаторы.Такие амортизаторы очень надежные и высокоэффективные, так как от длительной и быстрой езды по неровностям они не перегреваются, и масло не вспенивается из за наличия в цилиндре амортизатора, вместо воды, газа под давлением.Оригинальный номер детали  546604L000.","3 790,00"
,            Амортизатор передний правый 546604L100 SOLARIS Портер,,00000003664,546604L100,12,5,,"4 490,00"
,            Антенна (шток) 962152P000 SOLARIS Портер,,00000003667,962152P000,59,5,,"634,00"
,            Антенна 954203E710 SOLARIS Портер,,00000003666,954203E710,59,5,,"1 108,00"
,            Антенна 954203K200 SOLARIS Портер,,00000006358,954203K200,59,5,,"3 019,00"
,            Антенна иммобилайзера 954401R000 SOLARIS Портер,,00000006359,954401R000,59,4,,"1 106,00"
,            Антенна противоугонной системы внутренняя 954612J000 SOLARIS Портер,,00000006522,954612J000,59,3,,"2 157,00"
,            Бак  топливный (адсорбер паров бензина) 314204L000 SOLARIS Портер,,00000004871,314204L000,34,4,,"1 896,00"
,            Бак топливный (адсорбер паров бензина) 314201R000 SOLARIS Портер,,00000004868,314201R000,34,4,"Адсорбер паров бензина на Портер собирает пары бензина из топливного бака . Внутри него находятся гранулы активированного угля , поглощающие и сохраняющие эти пары .Чистка адсорбера от накопленных паров происходит с помощью продувки , которая в свою очередь осуществляется за счет разряжения во впускном коллекторе , после чего пары сжигаются в камерах сгорания двигателя. Оригинальный номер детали 314201R000","1 692,00"
,            Бак топливный 311501R100 SOLARIS Портер,,00000005798,311501R100,34,5,"Топливный бак на Портере представляет собой герметичную емкость, сделанную из меттала,  с отверстиями и местами для крепления различных датчиков. Топливо заливается через горловину, расположеную в верхней части бака. Оригинальный номер запчасти 311501R100","20 474,00"
,            Бак топливный 311504L000 SOLARIS Портер,,00000003668,311504L000,34,5,"Топливный бак на Портере представляет собой герметичную емкость, сделанную из меттала,  с отверстиями и местами для крепления различных датчиков. Топливо заливается через горловину, расположеную в верхней части бака. Оригинальный номер запчасти 311504L000","12 124,00"
,            Бак топливный кронштейн (подвеска бака топливного) 312114L000 SOLARIS Портер,,00000005598,312114L000,34,2,,"1 246,00"
,            Балка задняя 658504L200 SOLARIS Портер,,00000004877,658504L200,13,3,,"4 169,00"
,            Балка подвески задняя (дисковые тормоза) 551004L100 SOLARIS Портер,,00000003670,551004L100,13,5,,"13 790,00"
,            Балка подвески задняя 551004L050 SOLARIS Портер,,00000003669,551004L050,13,5,,"10 605,00"
,            Бампер задний (накладка бампера заднего (парктроник) седан 866501R000/866104L000 SOLARIS Портер,,00000004774,866104L000,3,5,"Накладка заднего бампера, важная деталь Портера , которая защищает автомобиль, как от  вмятин и царапин , так и существенно снижает объем повреждений от сильных ударов при аварии. Она изготовлена из высокопрочного полимерного материала , и достаточно проста в установке . Оригинальный номер 866104L000","7 997,00"
,            Бампер задний (накладка бампера заднего (парктроник) хетчбэк 866104L200 SOLARIS Портер,,00000004020,866104L200,3,5,,"9 480,00"
,            Бампер задний (накладка бампера заднего седан) 866114L000 SOLARIS Портер,,00000002783,866114L000,3,5,"Накладка заднего бампера, важная деталь Портера , которая защищает автомобиль, как от  вмятин и царапин , так и существенно снижает объем повреждений от сильных ударов при аварии. Она изготовлена из высокопрочного полимерного материала , и достаточно проста в установке . Оригинальный номер 866114L000","7 997,00"
,            Бампер задний (накладка бампера заднего седан) 866114L000_OEM SOLARIS Портер,"2,000",00000002875,866114L000,3,5,"Накладка заднего бампера, важная деталь Портера , которая защищает автомобиль, как от  вмятин и царапин , так и существенно снижает объем повреждений от сильных ударов при аварии. Она изготовлена из высокопрочного полимерного материала , и достаточно проста в установке . Оригинальный номер 866114L000","1 990,00"
,            Бампер задний (накладка бампера заднего седан) 866114R000_OEM SOLARIS Портер,,00000006708,866114R000,3,5,"Накладка заднего бампера, важная деталь Портера , которая защищает автомобиль, как от  вмятин и царапин , так и существенно снижает объем повреждений от сильных ударов при аварии. Она изготовлена из высокопрочного полимерного материала , и достаточно проста в установке . Оригинальный номер 866114R000","3 960,00"
,            Бампер задний (накладка бампера заднего хетчбэк) 866111R200_OEM SOLARIS Портер,,00000006709,866111R200,3,5,"Накладка заднего бампера, важная деталь Портера , которая защищает автомобиль, как от  вмятин и царапин , так и существенно снижает объем повреждений от сильных ударов при аварии. Она изготовлена из высокопрочного полимерного материала , и достаточно проста в установке . Оригинальный номер 866111R200","4 389,00"
,            Бампер задний (накладка бампера заднего хетчбэк) 866114L200 SOLARIS Портер,,00000004021,866114L200,3,5,"Накладка заднего бампера, важная деталь Портера , которая защищает автомобиль, как от  вмятин и царапин , так и существенно снижает объем повреждений от сильных ударов при аварии. Она изготовлена из высокопрочного полимерного материала , и достаточно проста в установке . Оригинальный номер 866114L200","8 700,00"
,            Бампер передний (накладка бампера переднего) 865111R000 SOLARIS Портер,,00000006633,865114L000,3,5,,"7 997,00"
,            Бампер передний (накладка бампера переднего) 865114L000 SOLARIS Портер,,00000002893,865114L000,3,5,,"7 997,00"
,            Бампер передний (накладка бампера переднего) 865114L000_OEM SOLARIS Портер,,00000003023,865114L000,3,5,"Накладка переднего бампера, важная деталь Портера , которая защищает автомобиль как от  вмятин и царапин , так и существенно снижает объем повреждений от сильных ударов при аварии. Она изготовлена из высокопрочного полимерного материала , и достаточно проста в установке . Оригинальный номер 865114L000","3 720,00"
,            Бампер передний (накладка бампера переднего) 865114L500 SOLARIS Портер 2014- (рестайлинг),,00000006737,865114L000,3,5,,"8 059,00"
,            Батарейка для пульта 954133A000 SOLARIS Портер,,00000003671,954133A000,100,,,"237,00"
,            Бачок воздухозаборника 281901R000 SOLARIS Портер,,00000004878,281901R000,36,4,,"1 397,00"
,            Бачок гидроусилителя 571500U000 SOLARIS Портер,,00000003673,571500U000,9,5,,"3 177,00"
,            Бачок жидкости тормозной 585114L000 SOLARIS Портер,,00000003674,585114L000,22,5,"В Портере бачок закреплен на корпусе вентилятора системы охлаждения , изготовлен из полупрозрачной пластиковой массы , что позволяет легко контролировать уровень жидкости в бачке . Он служит для поддержания уровня охлаждающей жидкости в системе охлаждения .Оригинальный номер 585114L000","2 157,00"
,            Бачок омывателя лобового стекла 986204L000 SOLARIS Портер,,00000003672,986204L000,63,5,,"2 007,00"
,            Бачок омывателя лобового стекла 986204L000/986201R010_OEM SOLARIS Портер,,00000006727,986204L000,63,5,"Бачок омывателя лобового стелка на Портер , расположен непосредственно под капотом автомобиля. Бачок изготовлен из пластика и служит для хранения стеклоочистительной жидкости , которая впрыскивается через форсунки омывателя , на лобовое стекло , для очистки его от грязи,пыли и т.д. Оригинальный номер детали 986204L000","1 605,00"
